"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENsembl","GeneID","EntrezID"
"RASL12",676.614870133654,-4.77705207165109,1.9934744467577,-2.39634477352883,0.0165595058413666,0.166929157575105,"ENSG00000103710","RASL12","51285"
"AP3B2",346.36911615449,-1.55977204564962,1.99236988797312,-0.782872726126376,0.433701855022191,0.791798070063413,"ENSG00000103723","AP3B2","8120"
"ACSBG1",111.603397263407,-1.23723381631724,1.57282330632013,-0.78663242803284,0.43149707047844,0.790158472181344,"ENSG00000103740","ACSBG1","23205"
"IGDCC4",2379.88528494715,-2.04294986623337,2.078155682087,-0.983059105649738,0.325578349612204,0.720229675053737,"ENSG00000103742","IGDCC4","57722"
"RAB11A",5846.62415334931,0.611592452269592,0.937965776176785,0.652041330081878,0.514374510545759,0.837612302184164,"ENSG00000103769","RAB11A","8766"
"CTSH",77.6169737891747,-1.02732279151226,3.04585820395228,-0.337285166518657,0.735901940660914,0.929605308051996,"ENSG00000103811","CTSH","1512"
"TTC23",879.495599681323,0.372739003534789,1.06452156328912,0.350146973428244,0.72622839976568,0.926156548604173,"ENSG00000103852","TTC23","64927"
"CD276",18108.383314387,-2.60292609564093,1.05410169976722,-2.46933108656949,0.0135365909250647,0.147759628440332,"ENSG00000103855","CD276","80381"
"FAH",578.058234168296,-0.612250819946605,1.86616566487888,-0.328079565211775,0.742851504255153,0.932406715685778,"ENSG00000103876","FAH","2184"
"CEMIP",14352.1617676487,2.11311800588466,1.20575858225028,1.7525216382379,0.0796841524683003,0.386265552642947,"ENSG00000103888","CEMIP","57214"
"RPAP1",2250.27277097084,-0.965750897865822,0.937549412319282,-1.03007999917228,0.302972453310215,0.701780099110216,"ENSG00000103932","RPAP1","26015"
"HOMER2",888.234037550969,-2.17378174803726,1.1828494514016,-1.83775014264196,0.0660992313958147,0.354964220103061,"ENSG00000103942","HOMER2","9455"
"EHD4",3027.39246098093,-1.40805454300393,1.27654766882792,-1.10301759768733,0.270019523132736,0.671299738894108,"ENSG00000103966","EHD4","30844"
"TMEM87A",5114.14449236842,0.19866445052622,1.12968459064658,0.175858334415726,0.860405239451886,0.968260228835148,"ENSG00000103978","TMEM87A","25963"
"ZNF106",8415.44408355307,0.553883742522268,1.20500227384243,0.459653690740416,0.645764814357902,0.893164146787139,"ENSG00000103994","ZNF106","64397"
"CEP152",1617.17990609842,0.780235305905616,0.927002577940992,0.841675443490818,0.399969647266987,0.773212856149583,"ENSG00000103995","CEP152","22995"
"DTWD1",1285.20390881915,1.25737337617735,1.12791664521553,1.11477508689225,0.264946814927169,0.667037476926238,"ENSG00000104047","DTWD1","56986"
"ENTREP2",523.22886629109,1.13140823189977,2.56420050434394,0.441232356823534,0.659044790705722,0.899191687386936,"ENSG00000104059","ENTREP2","23359"
"GABPB1",1469.36671453877,0.641768057628413,1.01338497532485,0.633291466969588,0.52654332456361,0.843508152770437,"ENSG00000104064","GABPB1","2553"
"TJP1",6106.88560714496,0.960309039676648,0.89849848162318,1.0687931691791,0.285162877995294,0.685925846145115,"ENSG00000104067","TJP1","7082"
"BMF",79.1827412084787,-0.0847100549756794,1.36544193600888,-0.0620385625647935,0.950532122644837,0.988656125070118,"ENSG00000104081","BMF","90427"
"DMXL2",2698.40924339446,-0.657624176896179,1.26241578833769,-0.520925184056925,0.602418890842238,0.876484461821338,"ENSG00000104093","DMXL2","23312"
"SCG3",4289.35621555348,0.90858802565625,2.15596198938387,0.421430447350283,0.673440789850509,0.90615617945995,"ENSG00000104112","SCG3","29106"
"DNAJC17",558.700095618706,1.90248079805151,0.795612405810288,2.39121560216741,0.0167926883476562,0.168431673707454,"ENSG00000104129","DNAJC17","55192"
"EIF3J",4509.73089259278,1.33069712804169,0.977122056788463,1.3618535358984,0.17324411224168,0.554669299068996,"ENSG00000104131","EIF3J","8669"
"SPG11",2166.91266798882,0.625543748664045,1.08691979165584,0.575519696546397,0.564939873592431,0.859625771020785,"ENSG00000104133","SPG11","80208"
"RHOV",34.4628031003602,-1.98892018833446,1.57642768500605,-1.26166281349394,0.207070143255147,0.596069902402932,"ENSG00000104140","RHOV","171177"
"VPS18",2388.71583267545,-0.566284907481995,0.972329348710265,-0.582400303182391,0.560297077378114,0.857898243423875,"ENSG00000104142","VPS18","57617"
"OIP5",619.957569660775,1.18031910836336,1.35682995348726,0.869909383508056,0.384349927062937,0.762534898103794,"ENSG00000104147","OIP5","11339"
"SLC30A4",649.02661563122,-0.651388347889206,1.39210743002492,-0.467915287168281,0.639845170842701,0.890205773427184,"ENSG00000104154","SLC30A4","7782"
"BLOC1S6",4686.11412375471,1.36085097548919,0.85254383478488,1.59622405319788,0.110438779219763,0.450669457802618,"ENSG00000104164","BLOC1S6","26258"
"MYEF2",3738.36911305074,1.3091987938801,0.852378169645187,1.53593656020668,0.124553940302059,0.47669597101066,"ENSG00000104177","MYEF2","50804"
"SGK3",219.441968842908,-0.659090837956916,1.10373759210912,-0.597144504879524,0.550410906535757,0.853550569864549,"ENSG00000104205","SGK3","23678"
"PDGFRL",110.366191734361,-1.93849558958811,1.1831196591165,-1.63846114351247,0.101325533322056,0.435649867834053,"ENSG00000104213","PDGFRL","5157"
"CSPP1",324.102612433662,2.13733802803789,1.08242043471295,1.9745913505455,0.0483145414182341,0.303310479521181,"ENSG00000104218","CSPP1","79848"
"ZDHHC2",1000.35302748569,1.46108223145091,1.50297341018932,0.972127797834339,0.330986974587648,0.724529032455149,"ENSG00000104219","ZDHHC2","51201"
"BRF2",1307.29019739081,-1.62298769449072,1.0278488485013,-1.57901397355962,0.114332851948253,0.458063577347212,"ENSG00000104221","BRF2","55290"
"TRIM35",1186.22128270531,-0.114048752848323,0.891403111165932,-0.127942960283312,0.898194113011366,0.977184323747554,"ENSG00000104228","TRIM35","23087"
"ZFAND1",775.25897151555,0.778036156662189,1.10156854416893,0.706298451222724,0.480002556386951,0.820986858510616,"ENSG00000104231","ZFAND1","79752"
"CA2",703.127311391052,2.11923898528785,1.27454022734002,1.66274782060879,0.0963629254551984,0.425868822872643,"ENSG00000104267","CA2","760"
"FZD3",6679.93024139635,0.851225133305256,1.43933994211961,0.591399646737879,0.554252677029119,0.8550352140385,"ENSG00000104290","FZD3","7976"
"INTS9",807.890065524425,0.589564269410223,0.942620700063186,0.625452283586286,0.531674256419567,0.846047103848639,"ENSG00000104299","INTS9","55756"
"RIPK2",413.73146302323,1.2948751372402,1.54337682253981,0.838988326330657,0.401475860414875,0.774418146147284,"ENSG00000104312","RIPK2","8767"
"EYA1",353.968379385436,-4.34258740967755,2.91316644114794,-1.49067603839564,0.136046570030377,0.500169975405629,"ENSG00000104313","EYA1","2138"
"NBN",2636.37863169721,0.903832576257459,1.39949951110566,0.64582557484668,0.518392323198471,0.839057997780873,"ENSG00000104320","NBN","4683"
"CPQ",1314.53528845197,0.655828209729743,1.24904472327895,0.525063832789017,0.599538817262605,0.876033417317138,"ENSG00000104324","CPQ","10404"
"DECR1",376.852399247156,1.85028781436144,1.18644686569956,1.55952016719304,0.118873315127912,0.466016114190842,"ENSG00000104325","DECR1","1666"
"CALB1",462.768466881292,-0.0340263092067912,2.04513221194698,-0.0166377063585527,0.986725643391847,0.996896166030131,"ENSG00000104327","CALB1","793"
"BPNT2",16640.3923289486,-1.15700124640635,1.4124825471083,-0.819126047804991,0.412714501974205,0.780360479942185,"ENSG00000104331","BPNT2","54928"
"SFRP1",947.521424486666,4.28901147761235,2.46095458855072,1.74282430791955,0.0813643089099574,0.390720428010877,"ENSG00000104332","SFRP1","6422"
"LAPTM4B",16112.482028052,0.220000244919134,1.2774309790086,0.172220846788821,0.863263909373131,0.969157025724685,"ENSG00000104341","LAPTM4B","55353"
"UBE2W",1489.55861936385,-0.616092270467453,1.13887875081963,-0.540963882260566,0.588532477589101,0.871027747794714,"ENSG00000104343","UBE2W","55284"
"POP1",1008.06978656394,-0.118594105161876,1.05926815945636,-0.111958529200709,0.910856288674123,0.979475306241623,"ENSG00000104356","POP1","10940"
"NIPAL2",168.035678828937,-0.767193745802808,1.62534852519087,-0.47201799116452,0.636913946947278,0.88911919820522,"ENSG00000104361","NIPAL2","79815"
"IKBKB",656.565974063987,1.24414235725233,1.12657132569342,1.10436181791378,0.269436216768261,0.670470331733073,"ENSG00000104365","IKBKB","3551"
"PLAT",3322.15353947892,-0.184133202773677,1.16144224550895,-0.158538406438789,0.874032559364662,0.971362930969276,"ENSG00000104368","PLAT","5327"
"JPH1",570.005254519333,-0.128517728870769,1.451917896368,-0.0885158377014696,0.929466697081562,0.984522145820715,"ENSG00000104369","JPH1","56704"
"STK3",1355.12106865686,0.332336520983328,0.980018057133655,0.339112650592726,0.734524868708717,0.92925938347353,"ENSG00000104375","STK3","6788"
"GDAP1",805.277453260699,0.880622197862218,1.61549984004002,0.545108192545786,0.585679108445534,0.870204598970804,"ENSG00000104381","GDAP1","54332"
"RAB2A",6333.70640230715,-0.33860147264398,0.856922908953195,-0.395136445888243,0.692742192855459,0.913488015424597,"ENSG00000104388","RAB2A","5862"
"EIF3E",7336.28332338886,1.87692500354841,1.12676527542559,1.66576397452387,0.0957604341508993,0.424457619122666,"ENSG00000104408","EIF3E","3646"
"EMC2",1020.44829429188,2.02408797973816,1.04264856056546,1.94129456107476,0.0522225588757655,0.317138377321926,"ENSG00000104412","EMC2","9694"
"CCN4",6654.9885797287,4.02535325988643,2.46411678172917,1.63358867150026,0.1023452481066,0.436667846804237,"ENSG00000104415","CCN4","8840"
"NDRG1",26870.9577238362,-1.93155226519465,1.29971900829238,-1.4861306581431,0.13724456442181,0.502493814872829,"ENSG00000104419","NDRG1","10397"
"ZC2HC1A",556.403312387424,2.52679092584546,1.39554550152155,1.81061163759299,0.0702009894779849,0.366472962020667,"ENSG00000104427","ZC2HC1A","51101"
"IL7",45.8210198890985,-5.47070148910074,3.65053778082581,-1.49860152600946,0.133977036615054,0.495606111055689,"ENSG00000104432","IL7","3574"
"STMN2",385.21503151593,2.1515580917476,2.91131761679968,0.739032415883477,0.459887313780994,0.807830778734192,"ENSG00000104435","STMN2","11075"
"ARMC1",3135.83958820298,0.299481278950379,0.895537783726023,0.334415012289422,0.738066412696602,0.930493454502643,"ENSG00000104442","ARMC1","55156"
"TRPS1",3710.23747447578,-1.43590219050062,1.38503263166466,-1.03672805800598,0.299862611883699,0.70033241832847,"ENSG00000104447","TRPS1","7227"
"SPAG1",599.905959282144,0.615195201979914,1.06388115515732,0.578255568300714,0.563091587276115,0.858966327602997,"ENSG00000104450","SPAG1","6674"
"CHRAC1",1150.63408377495,0.224985123979229,1.45919809296832,0.154184085809461,0.877464589826105,0.972016826539941,"ENSG00000104472","CHRAC1","54108"
"NCALD",2774.58097096569,1.83161195438748,1.77226431282358,1.03348690211414,0.301376096906834,0.701143443068376,"ENSG00000104490","NCALD","83988"
"SNX16",382.778803708293,0.871114911901427,1.05272963691597,0.827482082154926,0.407963873722336,0.778231013923176,"ENSG00000104497","SNX16","64089"
"UBR5",7104.37287374929,-0.146654720158448,0.941200912039199,-0.155816593760738,0.876177590456133,0.971950899170664,"ENSG00000104517","UBR5","51366"
"GSDMD",895.042001789677,-3.21345464010508,1.120634624284,-2.86753110288577,0.00413688139780206,0.0784941086282548,"ENSG00000104518","GSDMD","79792"
"GFUS",1318.83983184718,-0.577219493983375,1.43191459584584,-0.403110280220593,0.68686709824724,0.911211228004108,"ENSG00000104522","GFUS","7264"
"PYCR3",696.83304989317,-1.54393882855829,1.05658503632711,-1.46125373299371,0.14394582188788,0.513359912670205,"ENSG00000104524","PYCR3","65263"
"EEF1D",11270.3656899996,-0.7024126477457,0.946026675920756,-0.74248714716427,0.457792236222887,0.806991333026521,"ENSG00000104529","EEF1D","1936"
"SQLE",12345.1633287715,0.30901697587583,1.05748676215734,0.292218292402466,0.770119726407374,0.9427920980534,"ENSG00000104549","SQLE","6713"
"SH2D4A",496.107932954051,-1.30442096243541,1.40089797780459,-0.931132018963744,0.35178527765545,0.74087326516538,"ENSG00000104611","SH2D4A","63898"
"INTS10",4630.59965163041,0.75484224009869,0.969015482479944,0.778978513497913,0.435992371890017,0.793222543894163,"ENSG00000104613","INTS10","55174"
"ERI1",2080.50616589974,-0.558205589363926,0.852885553096571,-0.65449061405396,0.512795772197201,0.837234656612948,"ENSG00000104626","ERI1","90459"
