NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_GABA_RECEPTOR_ACTIVITY	22		Rejected!	
GOMF_GABA_RECEPTOR_BINDING	18		Rejected!	
GOMF_GALACTOSIDASE_ACTIVITY	7		Rejected!	
GOMF_GALACTOSIDE_BINDING	7		Rejected!	
GOMF_GALACTOSYLCERAMIDASE_ACTIVITY	5		Rejected!	
GOMF_GALACTOSYLTRANSFERASE_ACTIVITY	33	27		
GOMF_GAMMA_AMINOBUTYRIC_ACID_SODIUM_CHLORIDE_SYMPORTER_ACTIVITY	6		Rejected!	
GOMF_GAMMA_AMINOBUTYRIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_GAMMA_CATENIN_BINDING	12		Rejected!	
GOMF_GAMMA_TUBULIN_BINDING	35	34		
GOMF_GANGLIOSIDE_BINDING	5		Rejected!	
GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY	24		Rejected!	
GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY_INVOLVED_IN_CARDIAC_CONDUCTION_ELECTRICAL_COUPLING	5		Rejected!	
GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY_INVOLVED_IN_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	8		Rejected!	
GOMF_GAP_JUNCTION_HEMI_CHANNEL_ACTIVITY	6		Rejected!	
GOMF_GATED_CHANNEL_ACTIVITY	321	202		
GOMF_GDP_BINDING	76	69		
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY	17	16		
GOMF_GDP_PHOSPHATASE_ACTIVITY	10		Rejected!	
GOMF_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	64	49		
GOMF_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	53	50		
GOMF_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_GLUCOSE_BINDING	11		Rejected!	
GOMF_GLUCOSE_SODIUM_SYMPORTER_ACTIVITY	7		Rejected!	
GOMF_GLUCOSIDASE_ACTIVITY	15		Rejected!	
GOMF_GLUCOSYLTRANSFERASE_ACTIVITY	20	19		
GOMF_GLUCURONOSYLTRANSFERASE_ACTIVITY	35		Rejected!	
GOMF_GLUCURONOSYL_N_ACETYLGALACTOSAMINYL_PROTEOGLYCAN_4_BETA_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_GLUTAMATE_BINDING	8		Rejected!	
GOMF_GLUTAMATE_GATED_CALCIUM_ION_CHANNEL_ACTIVITY	8		Rejected!	
GOMF_GLUTAMATE_GATED_RECEPTOR_ACTIVITY	16		Rejected!	
GOMF_GLUTAMATE_RECEPTOR_ACTIVITY	26	19		
GOMF_GLUTAMATE_RECEPTOR_BINDING	48	43		
GOMF_GLUTAMATE_SODIUM_SYMPORTER_ACTIVITY	5		Rejected!	
GOMF_GLUTATHIONE_DISULFIDE_OXIDOREDUCTASE_ACTIVITY	5		Rejected!	
GOMF_GLUTATHIONE_HYDROLASE_ACTIVITY	9		Rejected!	
GOMF_GLUTATHIONE_PEROXIDASE_ACTIVITY	23	15		
GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY	29	19		
GOMF_GLUTATHIONE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7		Rejected!	
GOMF_GLYCERALDEHYDE_3_PHOSPHATE_DEHYDROGENASE_NADPLUS_NON_PHOSPHORYLATING_ACTIVITY	7		Rejected!	
GOMF_GLYCEROL_3_PHOSPHATE_O_ACYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_GLYCEROL_CHANNEL_ACTIVITY	7		Rejected!	
GOMF_GLYCEROL_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_GLYCEROPHOSPHODIESTER_PHOSPHODIESTERASE_ACTIVITY	5		Rejected!	
GOMF_GLYCEROPHOSPHOLIPID_FLIPPASE_ACTIVITY	13		Rejected!	
GOMF_GLYCINE_BINDING	11		Rejected!	
GOMF_GLYCINE_N_ACYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_GLYCINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10		Rejected!	
GOMF_GLYCOGEN_BINDING	8		Rejected!	
GOMF_GLYCOLIPID_BINDING	29	19		
GOMF_GLYCOLIPID_MANNOSYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_GLYCOSAMINOGLYCAN_BINDING	244	165		
GOMF_GLYCOSPHINGOLIPID_BINDING	10		Rejected!	
GOMF_GLYCOSYLTRANSFERASE_ACTIVITY	277	228		
GOMF_GPI_ANCHOR_BINDING	8		Rejected!	
GOMF_GPI_LINKED_EPHRIN_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_GROWTH_FACTOR_ACTIVITY	162	107		
GOMF_GROWTH_FACTOR_BINDING	136	116		
GOMF_GROWTH_FACTOR_RECEPTOR_BINDING	138	98		
GOMF_GROWTH_HORMONE_RECEPTOR_BINDING	10		Rejected!	
GOMF_GTPASE_ACTIVATING_PROTEIN_BINDING	11		Rejected!	
GOMF_GTPASE_ACTIVATOR_ACTIVITY	273	244		
GOMF_GTPASE_ACTIVITY	333	291		
GOMF_GTPASE_BINDING	315	305		
GOMF_GTPASE_INHIBITOR_ACTIVITY	12		Rejected!	
GOMF_GTP_DEPENDENT_PROTEIN_BINDING	20	20		
GOMF_GUANINE_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_GUANYLATE_CYCLASE_ACTIVITY	8		Rejected!	
GOMF_GUANYLATE_CYCLASE_REGULATOR_ACTIVITY	9		Rejected!	
GOMF_GUANYLATE_KINASE_ACTIVITY	9		Rejected!	
GOMF_GUANYLYLTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	228	204		
GOMF_GUANYL_RIBONUCLEOTIDE_BINDING	403	337		
GOMF_G_PROTEIN_ACTIVITY	49	44		
GOMF_G_PROTEIN_ALPHA_SUBUNIT_BINDING	29	24		
GOMF_G_PROTEIN_BETA_GAMMA_SUBUNIT_COMPLEX_BINDING	22	15		
GOMF_G_PROTEIN_BETA_SUBUNIT_BINDING	23	17		
GOMF_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	40	19		
GOMF_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	26		Rejected!	
GOMF_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_ACTIVITY	9		Rejected!	
GOMF_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_BINDING	10		Rejected!	
GOMF_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	12		Rejected!	
GOMF_G_PROTEIN_COUPLED_OPIOID_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_ACTIVITY	13		Rejected!	
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	871	242		
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	291	175		
GOMF_G_PROTEIN_COUPLED_RECEPTOR_KINASE_ACTIVITY	7		Rejected!	
GOMF_G_PROTEIN_COUPLED_SEROTONIN_RECEPTOR_ACTIVITY	22		Rejected!	
GOMF_G_QUADRUPLEX_DNA_BINDING	11		Rejected!	
GOMF_G_QUADRUPLEX_RNA_BINDING	8		Rejected!	
GOMF_G_RICH_STRAND_TELOMERIC_DNA_BINDING	10		Rejected!	
GOMF_HAPTOGLOBIN_BINDING	10		Rejected!	
GOMF_HEAT_SHOCK_PROTEIN_BINDING	130	118		
GOMF_HELICASE_ACTIVITY	156	148		
GOMF_HEME_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_HEMOGLOBIN_ALPHA_BINDING	5		Rejected!	
GOMF_HEMOGLOBIN_BINDING	9		Rejected!	
GOMF_HEPARAN_SULFATE_BINDING	7		Rejected!	
GOMF_HEPARAN_SULFATE_GLUCOSAMINE_3_SULFOTRANSFERASE_1_ACTIVITY	7		Rejected!	
GOMF_HEPARAN_SULFATE_PROTEOGLYCAN_BINDING	18		Rejected!	
GOMF_HEPARAN_SULFATE_SULFOTRANSFERASE_ACTIVITY	15		Rejected!	
GOMF_HEPARIN_BINDING	174	117		
GOMF_HETEROTRIMERIC_G_PROTEIN_BINDING	6		Rejected!	
GOMF_HEXOKINASE_ACTIVITY	5		Rejected!	
GOMF_HEXOSAMINIDASE_ACTIVITY	15		Rejected!	
GOMF_HEXOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	25		Rejected!	
GOMF_HEXOSYLTRANSFERASE_ACTIVITY	202	163		
GOMF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_BINDING	13		Rejected!	
GOMF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	14		Rejected!	
GOMF_HISTAMINE_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_HISTONE_ACETYLTRANSFERASE_BINDING	24	23		
GOMF_HISTONE_BINDING	248	220		
GOMF_HISTONE_CHAPERONE_ACTIVITY	12		Rejected!	
GOMF_HISTONE_DEACETYLASE_BINDING	128	112		
GOMF_HISTONE_DEACETYLASE_REGULATOR_ACTIVITY	6		Rejected!	
GOMF_HISTONE_DECROTONYLASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_DEUBIQUITINASE_ACTIVITY	8		Rejected!	
GOMF_HISTONE_H2AX_KINASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H2A_DEUBIQUITINASE_ACTIVITY	6		Rejected!	
GOMF_HISTONE_H2A_UBIQUITIN_LIGASE_ACTIVITY	6		Rejected!	
GOMF_HISTONE_H3K14_ACETYLTRANSFERASE_ACTIVITY	9		Rejected!	
GOMF_HISTONE_H3K27ME2_H3K27ME3_DEMETHYLASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H3K27_METHYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_HISTONE_H3K36_DEMETHYLASE_ACTIVITY	10		Rejected!	
GOMF_HISTONE_H3K36_METHYLTRANSFERASE_ACTIVITY	13		Rejected!	
GOMF_HISTONE_H3K36_TRIMETHYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H3K4ME_H3K4ME2_H3K4ME3_DEMETHYLASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H3K4_DEMETHYLASE_ACTIVITY	8		Rejected!	
GOMF_HISTONE_H3K4_METHYLTRANSFERASE_ACTIVITY	19	16		
GOMF_HISTONE_H3K4_MONOMETHYLTRANSFERASE_ACTIVITY	8		Rejected!	
GOMF_HISTONE_H3K4_TRIMETHYLTRANSFERASE_ACTIVITY	10		Rejected!	
GOMF_HISTONE_H3K9ME2_H3K9ME3_DEMETHYLASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H3K9ME2_METHYLTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_HISTONE_H3K9ME_H3K9ME2_DEMETHYLASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H3K9_DEMETHYLASE_ACTIVITY	14		Rejected!	
GOMF_HISTONE_H3K9_METHYLTRANSFERASE_ACTIVITY	13		Rejected!	
GOMF_HISTONE_H3K9_MONOMETHYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_HISTONE_H3K9_TRIMETHYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H3_ACETYLTRANSFERASE_ACTIVITY	15	15		
GOMF_HISTONE_H3_KINASE_ACTIVITY	11		Rejected!	
GOMF_HISTONE_H3_METHYLTRANSFERASE_ACTIVITY	43	40		
GOMF_HISTONE_H4K12_ACETYLTRANSFERASE_ACTIVITY	12		Rejected!	
GOMF_HISTONE_H4K16_ACETYLTRANSFERASE_ACTIVITY	8		Rejected!	
GOMF_HISTONE_H4K20_METHYLTRANSFERASE_ACTIVITY	10		Rejected!	
GOMF_HISTONE_H4K20_MONOMETHYLTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_HISTONE_H4K5_ACETYLTRANSFERASE_ACTIVITY	11		Rejected!	
GOMF_HISTONE_H4_ACETYLTRANSFERASE_ACTIVITY	21	21		
GOMF_HISTONE_H4_DEMETHYLASE_ACTIVITY	5		Rejected!	
GOMF_HISTONE_H4_METHYLTRANSFERASE_ACTIVITY	17	16		
GOMF_HISTONE_KINASE_ACTIVITY	23	22		
GOMF_HISTONE_METHYLTRANSFERASE_ACTIVITY	70	66		
GOMF_HISTONE_METHYLTRANSFERASE_BINDING	14		Rejected!	
GOMF_HISTONE_MODIFYING_ACTIVITY	214	201		
GOMF_HISTONE_READER_ACTIVITY	19	18		
GOMF_HISTONE_UBIQUITIN_LIGASE_ACTIVITY	11		Rejected!	
GOMF_HMG_BOX_DOMAIN_BINDING	13		Rejected!	
GOMF_HORMONE_ACTIVITY	128	44		
GOMF_HORMONE_BINDING	92	59		
GOMF_HORMONE_RECEPTOR_BINDING	33	15		
GOMF_HSP70_PROTEIN_BINDING	51	45		
GOMF_HSP90_PROTEIN_BINDING	42	39		
GOMF_HYALURONIC_ACID_BINDING	26	18		
GOMF_HYALURONONGLUCOSAMINIDASE_ACTIVITY	8		Rejected!	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	814		Rejected!	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS	137	105		
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDES	15		Rejected!	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_CYCLIC_AMIDINES	35	25		
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDES	74	59		
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_BUT_NOT_PEPTIDE_BONDS_IN_LINEAR_AMIDINES	11		Rejected!	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS	770		Rejected!	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ETHER_BONDS	10		Rejected!	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS	137	109		
GOMF_HYDROLASE_ACTIVITY_HYDROLYZING_N_GLYCOSYL_COMPOUNDS	40	37		
GOMF_HYDROLASE_ACTIVITY_HYDROLYZING_O_GLYCOSYL_COMPOUNDS	97	73		
GOMF_HYDROPEROXY_ICOSATETRAENOATE_DEHYDRATASE_ACTIVITY	7		Rejected!	
GOMF_HYDROXYMETHYL_FORMYL_AND_RELATED_TRANSFERASE_ACTIVITY	8		Rejected!	
GOMF_HYDRO_LYASE_ACTIVITY	61	49		
GOMF_ICOSANOID_BINDING	8		Rejected!	
GOMF_ICOSANOID_RECEPTOR_ACTIVITY	15		Rejected!	
GOMF_ICOSANOID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	13		Rejected!	
GOMF_IGE_BINDING	5		Rejected!	
GOMF_IGG_BINDING	11		Rejected!	
GOMF_IGG_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_IMMUNE_RECEPTOR_ACTIVITY	152	78		
GOMF_IMMUNOGLOBULIN_BINDING	26		Rejected!	
GOMF_IMMUNOGLOBULIN_RECEPTOR_ACTIVITY	13		Rejected!	
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING	19		Rejected!	
GOMF_IMPORTIN_ALPHA_FAMILY_PROTEIN_BINDING	9		Rejected!	
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY	10		Rejected!	
GOMF_INITIATOR_METHIONYL_AMINOPEPTIDASE_ACTIVITY	5		Rejected!	
GOMF_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	159	106		
GOMF_INORGANIC_DIPHOSPHATE_PHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	738		Rejected!	
GOMF_INOSITOL_1_3_4_5_6_PENTAKISPHOSPHATE_KINASE_ACTIVITY	5		Rejected!	
GOMF_INOSITOL_1_3_4_5_TETRAKISPHOSPHATE_BINDING	5		Rejected!	
GOMF_INOSITOL_1_4_5_TRISPHOSPHATE_5_PHOSPHATASE_ACTIVITY	7		Rejected!	
GOMF_INOSITOL_1_4_5_TRISPHOSPHATE_BINDING	12		Rejected!	
GOMF_INOSITOL_BISPHOSPHATE_PHOSPHATASE_ACTIVITY	7		Rejected!	
GOMF_INOSITOL_PHOSPHATE_KINASE_ACTIVITY	11		Rejected!	
GOMF_INOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY	19	19		
GOMF_INOSITOL_POLYPHOSPHATE_5_PHOSPHATASE_ACTIVITY	7		Rejected!	
GOMF_INOSITOL_TETRAKISPHOSPHATE_KINASE_ACTIVITY	5		Rejected!	
GOMF_INOSITOL_TETRAKISPHOSPHATE_PHOSPHATASE_ACTIVITY	8		Rejected!	
GOMF_INOSITOL_TRISPHOSPHATE_PHOSPHATASE_ACTIVITY	13		Rejected!	
GOMF_INSULIN_BINDING	5		Rejected!	
GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING	19	18		
GOMF_INSULIN_LIKE_GROWTH_FACTOR_II_BINDING	8		Rejected!	
GOMF_INSULIN_LIKE_GROWTH_FACTOR_I_BINDING	13		Rejected!	
GOMF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	16		Rejected!	
GOMF_INSULIN_RECEPTOR_BINDING	22	19		
GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING	13		Rejected!	
GOMF_INTEGRIN_BINDING	158	131		
GOMF_INTEGRIN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION	5		Rejected!	
GOMF_INTERFERON_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_INTERLEUKIN_12_RECEPTOR_BINDING	5		Rejected!	
GOMF_INTERLEUKIN_17_RECEPTOR_ACTIVITY	8		Rejected!	
GOMF_INTERLEUKIN_1_BINDING	10		Rejected!	
GOMF_INTERLEUKIN_1_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_INTERLEUKIN_1_RECEPTOR_BINDING	17		Rejected!	
GOMF_INTERLEUKIN_2_RECEPTOR_BINDING	5		Rejected!	
GOMF_INTERLEUKIN_6_RECEPTOR_BINDING	7		Rejected!	
GOMF_INTERMEDIATE_FILAMENT_BINDING	11		Rejected!	
GOMF_INTRACELLULARLY_CALCIUM_GATED_CHLORIDE_CHANNEL_ACTIVITY	20		Rejected!	
GOMF_INTRACELLULARLY_CAMP_ACTIVATED_CATION_CHANNEL_ACTIVITY	9		Rejected!	
GOMF_INTRACELLULARLY_CGMP_ACTIVATED_CATION_CHANNEL_ACTIVITY	7		Rejected!	
GOMF_INTRACELLULARLY_GATED_CALCIUM_CHANNEL_ACTIVITY	18		Rejected!	
GOMF_INTRACELLULARLY_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY	31	16		
GOMF_INTRACILIARY_TRANSPORT_PARTICLE_B_BINDING	5		Rejected!	
GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	42	36		
GOMF_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY	53	43		
GOMF_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_INTERCONVERTING_ALDOSES_AND_KETOSES	6		Rejected!	
GOMF_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_TRANSPOSING_C_C_BONDS	16		Rejected!	
GOMF_INTRAMOLECULAR_PHOSPHOTRANSFERASE_ACTIVITY	11		Rejected!	
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY	29	27		
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	11		Rejected!	
GOMF_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	27	20		
GOMF_IODIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING	27	23		
GOMF_IRON_ION_BINDING	153	94		
GOMF_IRON_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10		Rejected!	
GOMF_ISOCITRATE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	5		Rejected!	
GOMF_ISOMERASE_ACTIVITY	178	152		
GOMF_ISOPRENOID_BINDING	45	18		
GOMF_I_SMAD_BINDING	16	16		
GOMF_JUN_KINASE_BINDING	11		Rejected!	
GOMF_JUN_KINASE_KINASE_KINASE_ACTIVITY	11		Rejected!	
GOMF_K48_LINKED_DEUBIQUITINASE_ACTIVITY	19	17		
GOMF_K48_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	10		Rejected!	
GOMF_K63_LINKED_DEUBIQUITINASE_ACTIVITY	15	15		
GOMF_K63_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	26	26		
GOMF_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_KERATIN_FILAMENT_BINDING	6		Rejected!	
GOMF_KETOSTEROID_MONOOXYGENASE_ACTIVITY	5		Rejected!	
GOMF_KINASE_ACTIVATOR_ACTIVITY	142	123		
GOMF_KINASE_ACTIVITY	743		Rejected!	
GOMF_KINASE_BINDING	794		Rejected!	
GOMF_KINASE_INHIBITOR_ACTIVITY	80	73		
GOMF_KINASE_REGULATOR_ACTIVITY	278	242		
GOMF_KINESIN_BINDING	42	40		
GOMF_KINETOCHORE_BINDING	6		Rejected!	
GOMF_LACTATE_DEHYDROGENASE_ACTIVITY	6		Rejected!	
GOMF_LACTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6		Rejected!	
GOMF_LAMININ_1_BINDING	7		Rejected!	
GOMF_LAMININ_BINDING	29	27		
GOMF_LAMIN_BINDING	16	15		
GOMF_LARGE_RIBOSOMAL_SUBUNIT_RRNA_BINDING	7		Rejected!	
GOMF_LBD_DOMAIN_BINDING	7		Rejected!	
GOMF_LEUCINE_ZIPPER_DOMAIN_BINDING	11		Rejected!	
GOMF_LEUKOTRIENE_C4_GAMMA_GLUTAMYL_TRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_LEUKOTRIENE_C4_SYNTHASE_ACTIVITY	5		Rejected!	
GOMF_LIGAND_ACTIVATED_TRANSCRIPTION_FACTOR_ACTIVITY	53	41		
GOMF_LIGAND_GATED_CALCIUM_CHANNEL_ACTIVITY	31	22		
GOMF_LIGAND_GATED_CHANNEL_ACTIVITY	187	114		
GOMF_LIGAND_GATED_MONOATOMIC_ANION_CHANNEL_ACTIVITY	47	25		
GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY	137	87		
GOMF_LIGAND_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL	16		Rejected!	
GOMF_LIGAND_GATED_SODIUM_CHANNEL_ACTIVITY	17		Rejected!	
GOMF_LIGASE_ACTIVITY	169	149		
GOMF_LIGASE_ACTIVITY_FORMING_CARBON_CARBON_BONDS	7		Rejected!	
GOMF_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS	50	44		
GOMF_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	41	41		
GOMF_LIGASE_ACTIVITY_FORMING_CARBON_SULFUR_BONDS	41	32		
GOMF_LIGASE_ACTIVITY_FORMING_PHOSPHORIC_ESTER_BONDS	6		Rejected!	
GOMF_LIM_DOMAIN_BINDING	6		Rejected!	
GOMF_LIPASE_ACTIVATOR_ACTIVITY	21		Rejected!	
GOMF_LIPASE_ACTIVITY	134	93		
GOMF_LIPASE_BINDING	7		Rejected!	
GOMF_LIPASE_INHIBITOR_ACTIVITY	17		Rejected!	
GOMF_LIPID_ANTIGEN_BINDING	5		Rejected!	
GOMF_LIPID_BINDING	862		Rejected!	
GOMF_LIPID_KINASE_ACTIVITY	41	36		
GOMF_LIPID_PHOSPHATASE_ACTIVITY	19	19		
GOMF_LIPID_TRANSFER_ACTIVITY	56	44		
GOMF_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	56	30		
GOMF_LIPID_TRANSPORTER_ACTIVITY	167	118		
GOMF_LIPOPEPTIDE_BINDING	10		Rejected!	
GOMF_LIPOPOLYSACCHARIDE_BINDING	41	22		
GOMF_LIPOPOLYSACCHARIDE_IMMUNE_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_LIPOPROTEIN_LIPASE_ACTIVITY	9		Rejected!	
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	18		Rejected!	
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	29	23		
GOMF_LIPOTEICHOIC_ACID_BINDING	5		Rejected!	
GOMF_LNCRNA_BINDING	26	16		
GOMF_LONG_CHAIN_FATTY_ACID_BINDING	17		Rejected!	
GOMF_LONG_CHAIN_FATTY_ACID_COA_LIGASE_ACTIVITY	15		Rejected!	
GOMF_LONG_CHAIN_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	16		Rejected!	
GOMF_LONG_CHAIN_FATTY_ACYL_COA_HYDROLASE_ACTIVITY	14		Rejected!	
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING	17		Rejected!	
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	15		Rejected!	
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	24	21		
GOMF_LRR_DOMAIN_BINDING	16	16		
GOMF_LYASE_ACTIVITY	202	167		
GOMF_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY_ACTING_ON_ACETYL_PHOSPHATE_AS_DONOR	6		Rejected!	
GOMF_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	66	59		
GOMF_LYSOPHOSPHATIDIC_ACID_BINDING	8		Rejected!	
GOMF_LYSOPHOSPHATIDIC_ACID_PHOSPHATASE_ACTIVITY	7		Rejected!	
GOMF_LYSOPHOSPHATIDIC_ACID_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_LYSOPHOSPHOLIPASE_ACTIVITY	26	21		
GOMF_LYSOPHOSPHOLIPID_ACYLTRANSFERASE_ACTIVITY	22	21		
GOMF_LYSOZYME_ACTIVITY	11		Rejected!	
GOMF_L_ALANINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	66	52		
GOMF_L_ARGININE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	13		Rejected!	
GOMF_L_ASCORBIC_ACID_BINDING	20	19		
GOMF_L_ASPARTATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
